steckbrief_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
1,0,0,1,0,1,1,0,3,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,1,0,0,0,2,0,5,0,0,0,0,0
8,0,0,0,0,0,0,0,3,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0,0,0,0,0
11,9,1,0,0,1,1,0,11,0,0,6,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,1,0,0,2,0,0,0,0,0
23,0,0,0,0,0,0,0,4,0,0,0,0,0
24,1,0,0,0,0,0,0,1,0,0,0,0,0
25,0,1,0,0,0,3,5,0,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,1,0,0,0,1,0,0
31,0,0,0,0,1,1,0,3,1,0,0,0,0
33,0,1,0,0,1,0,2,6,0,0,1,1,0
34,3,1,0,0,0,0,1,0,0,0,0,0,1
35,0,1,0,0,0,0,0,0,0,0,0,0,0
36,20,2,1,2,3,2,4,2,1,1,4,2,1
40,0,0,0,0,0,0,1,1,0,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0
42,0,1,0,0,0,0,1,4,0,0,0,0,0
43,0,1,0,0,1,0,0,1,0,0,0,0,0
45,0,0,0,0,1,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0,0,0,0,2,0,0,7,0,0,0,0,0
51,1,3,0,0,2,3,9,1,1,1,1,2,0
55,1,0,0,0,0,0,0,2,0,0,0,0,0
59,0,0,0,0,0,3,1,0,0,0,0,0,0
60,0,0,0,0,0,0,2,0,0,0,0,0,0
62,0,0,0,0,0,0,0,3,0,0,2,0,0
64,0,0,0,0,0,0,1,0,0,0,0,0,0
71,0,0,1,0,0,0,0,1,0,0,0,0,0
73,0,0,0,0,0,0,0,1,0,0,0,0,0
75,1,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,1,0,0,0,0,0
81,0,0,0,0,1,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,1,0,0,0,0,0,0
85,0,1,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,1,0,0,0,0,0
93,1,0,0,0,0,0,1,0,0,0,0,0,0
102,0,0,0,0,0,0,0,1,0,0,0,0,0
103,0,1,0,0,0,1,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0,1,0,0,1,1
106,0,0,0,0,1,0,1,0,0,0,0,0,0
108,0,0,0,0,0,1,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,2,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,2,0,0
118,0,0,0,0,0,1,0,2,0,0,0,0,0
121,0,0,0,0,1,0,0,4,1,0,0,0,0
127,0,0,0,0,0,1,0,0,1,0,0,0,0
129,1,1,0,0,1,0,0,1,0,0,0,0,0
140,0,2,0,0,2,0,0,2,0,0,0,0,0
143,0,0,0,1,0,1,0,0,1,0,0,0,0
147,1,2,0,0,1,0,1,0,0,1,1,1,0
149,0,0,0,0,0,0,0,3,0,0,0,0,0
154,0,0,0,0,0,0,0,2,0,0,0,0,0
157,0,0,0,0,0,0,0,2,0,0,0,0,0
164,0,0,0,0,0,0,0,2,0,0,0,0,0
173,0,0,0,0,0,0,0,2,0,0,0,0,0
178,0,1,1,0,0,0,0,3,0,0,1,0,0
179,0,0,0,0,0,0,0,1,0,0,0,0,0
180,0,1,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,2,1,2,1,0,0,0,1,0
187,0,0,1,0,0,0,0,0,0,0,1,0,0
195,0,0,1,0,2,0,0,7,0,0,0,0,0
199,0,0,0,0,1,0,0,2,0,0,0,0,0
201,0,0,0,1,0,0,0,1,0,0,0,0,0
211,0,0,0,0,1,2,6,0,1,0,0,0,0
213,0,0,0,0,0,0,0,1,0,0,0,0,0
214,0,0,0,0,0,0,0,1,0,0,0,0,0
215,1,0,0,0,0,0,1,0,1,0,0,1,1
221,0,0,0,0,0,0,1,0,0,0,0,0,0
223,0,1,0,0,0,0,0,0,0,0,0,0,0
224,1,0,0,0,0,0,0,0,1,0,0,1,2
225,2,0,0,0,1,0,2,0,1,0,0,1,1
227,1,1,0,0,0,1,0,1,0,0,1,0,0
232,0,2,0,0,5,5,0,13,1,2,1,0,0
233,0,0,0,0,1,0,2,0,0,0,0,0,0
236,0,0,0,0,1,1,1,5,0,0,0,1,0
237,0,0,0,0,0,0,0,3,0,0,0,0,0
238,0,1,0,0,0,0,0,0,0,0,0,0,0
239,0,3,0,0,1,0,0,0,0,0,0,0,0
244,0,1,0,0,7,2,1,7,0,2,0,0,0
247,0,0,0,0,0,0,0,1,0,0,1,0,0
248,0,2,0,0,1,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,2,0,0,0,0,0
252,0,0,0,0,0,1,2,1,0,0,0,0,0
253,0,0,0,0,0,0,0,1,0,0,0,0,0
257,0,0,0,0,0,0,1,5,0,0,0,1,0
258,2,0,0,0,1,0,1,0,0,0,0,1,0
261,0,0,0,0,0,0,0,2,0,0,0,0,0
262,0,0,0,0,0,0,0,1,0,0,0,0,0
263,0,0,0,0,1,0,0,6,0,0,0,0,0
265,0,0,0,0,0,0,1,0,0,0,0,0,0
267,0,0,0,0,0,0,0,3,0,0,0,0,0
271,2,0,0,0,2,0,0,0,0,0,0,0,0
272,0,0,0,0,1,0,1,0,0,0,1,1,1
275,0,0,0,0,0,1,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,1,0,0
277,0,0,0,0,1,0,0,1,0,0,0,0,0
